"id","name","noradId","signalStrength","elevation","packetsPerMinute","frequency","snr","azimuth","observationCount","successRate","status","fill"
"6","FUNCUBE-1","39444","-52.8","41.6","9.3","145.935","11.7","52.8","134","76.2","weak","#A60808"
"7","LILACSAT-2","40908","-53.4","38.4","8.1","437.2","10.9","278.3","112","73.5","weak","#A60808"
"10","PEGASUS","40014","-55.2","32.7","6.8","436.9","8.4","341.7","98","70.3","weak","#A60808"
"12","JY1SAT","43803","-50.3","47.1","11.4","145.84","12.8","215.3","156","79.6","weak","#A60808"
"13","LUCKY-7","44406","-57.8","28.3","5.2","437.525","6.9","118.2","81","65.4","weak","#A60808"
"16","AALTO-1","42775","-51.7","43.8","10.8","437.22","13.1","332.6","143","77.9","weak","#A60808"
"19","GOMX-1","39430","-54.6","35.2","7.4","437.1","9.2","267.4","89","68.7","weak","#A60808"
"20","STRAND-1","39090","-56.3","30.9","6.1","437.568","7.8","153.6","74","63.2","weak","#A60808"
"24","SPROUT","40300","-58.9","25.6","4.7","437.525","5.6","143.5","67","61.8","weak","#A60808"
"25","CUTE-1.7+APD-II","32785","-53.1","40.1","8.9","437.275","11.2","287.4","121","74.9","weak","#A60808"
"26","SWISSCUBE","35932","-50.8","46.3","11.1","437.505","12.4","38.7","149","78.8","weak","#A60808"
"29","TEVEL-2","50987","-59.7","22.4","3.8","436.4","4.9","356.2","54","58.3","weak","#A60808"
